t,x(t),z(t),v_x(t),v_z(t),a_x(t),a_z(t) (added)
5.019996,10.18037,-4.760058,-0.90777,-0.8289585,-2.183604,2.996592
5.039996,10.16159,-4.775774,-0.9387054,-0.7859132,-2.221842,2.993975
5.059996,10.14219,-4.790631,-0.9701782,-0.7429176,-2.260538,2.990822
5.079996,10.12214,-4.804628,-1.002195,-0.6999793,-2.299617,2.987247
5.099996,10.10144,-4.817768,-1.034761,-0.6571043,-2.338996,2.983358
5.119996,10.08008,-4.830052,-1.06788,-0.6142972,-2.378585,2.979257
5.139996,10.05805,-4.841481,-1.101555,-0.5715608,-2.418284,2.975038
5.159996,10.03533,-4.852057,-1.135787,-0.5288969,-2.457989,2.970787
5.179996,10.01192,-4.861781,-1.170577,-0.486306,-2.497582,2.966585
5.199996,9.9878,-4.870654,-1.205923,-0.4437872,-2.536938,2.962507
5.219996,9.962961,-4.878679,-1.241821,-0.4013389,-2.575924,2.958617
5.239996,9.937394,-4.885856,-1.278265,-0.3589582,-2.614393,2.954977
5.259996,9.911087,-4.892186,-1.315249,-0.3166417,-2.652192,2.95164
5.279996,9.884029,-4.897672,-1.352762,-0.2743849,-2.689154,2.948653
5.299996,9.856212,-4.902313,-1.390792,-0.2321829,-2.725101,2.946056
5.319996,9.827623,-4.906112,-1.429325,-0.19003,-2.759848,2.943883
5.339996,9.798254,-4.909068,-1.468344,-0.1479202,-2.793194,2.942163
5.359996,9.768095,-4.911183,-1.507827,-0.105847,-2.82493,2.940917
5.379996,9.737138,-4.912457,-1.547753,-0.06380363,-2.854833,2.940159
5.399996,9.705374,-4.91289,-1.588094,-0.02178308,-2.882672,2.9399
5.419996,9.672795,-4.912484,-1.628822,0.02022176,-2.908203,2.940143
5.439996,9.639395,-4.911237,-1.669903,0.06221808,-2.931174,2.940884
5.459996,9.605166,-4.909151,-1.7113,0.104213,-2.951322,2.942114
5.479996,9.570105,-4.906224,-1.752973,0.1462135,-2.968376,2.943818
5.499996,9.534204,-4.902458,-1.794878,0.1882263,-2.982057,2.945974
5.519996,9.497463,-4.897851,-1.836966,0.2302579,-2.992079,2.948554
5.539996,9.459877,-4.892402,-1.879185,0.2723144,-2.998152,2.951524
5.559996,9.421445,-4.886112,-1.921479,0.3144013,-2.999983,2.954844
5.579996,9.382167,-4.878979,-1.963787,0.3565236,-2.997277,2.958468
5.599996,9.342044,-4.871003,-2.006044,0.3986856,-2.989738,2.962341
5.619996,9.301078,-4.862183,-2.048182,0.4408911,-2.977077,2.966405
5.639996,9.259274,-4.852518,-2.090126,0.4831424,-2.959006,2.970594
5.659996,9.216636,-4.842007,-2.1318,0.5254413,-2.93525,2.974834
5.679996,9.173171,-4.830649,-2.173123,0.567789,-2.905541,2.979046
5.699996,9.128889,-4.818443,-2.21401,0.6101848,-2.86963,2.983145
5.719995,9.083799,-4.805388,-2.254371,0.6526267,-2.827284,2.987036
5.739995,9.037915,-4.791484,-2.294117,0.6951123,-2.778292,2.990621
5.759995,8.99125,-4.776729,-2.333151,0.737637,-2.722468,2.993793
5.779995,8.94382,-4.761123,-2.371376,0.7801947,-2.659657,2.996438
5.799995,8.895644,-4.744666,-2.408694,0.8227783,-2.589734,2.998437
5.819995,8.846743,-4.727356,-2.445001,0.865378,-2.512613,2.999664
5.839995,8.797136,-4.709194,-2.480196,0.9079833,-2.428244,2.999985
5.859995,8.746851,-4.69018,-2.514176,0.9505808,-2.336624,2.99926
5.879995,8.695912,-4.670315,-2.546837,0.9931559,-2.237791,2.997345
5.899995,8.644349,-4.649599,-2.578077,1.035691,-2.131836,2.994088
5.919995,8.592192,-4.628033,-2.607794,1.078168,-2.018895,2.989332
5.939995,8.539473,-4.605619,-2.63589,1.120565,-1.899159,2.982917
5.959995,8.486226,-4.58236,-2.662266,1.162858,-1.772871,2.974675
5.979995,8.432488,-4.558258,-2.686831,1.205021,-1.640323,2.964436
5.999995,8.378297,-4.533315,-2.709496,1.247026,-1.501861,2.952027
6.019995,8.323692,-4.507535,-2.730175,1.288841,-1.357885,2.937273
6.039995,8.268715,-4.480925,-2.748793,1.330434,-1.208838,2.919995
6.059995,8.213408,-4.453487,-2.765275,1.371768,-1.055213,2.900015
6.079995,8.157817,-4.425229,-2.779557,1.412805,-0.8975459,2.877156
6.099995,8.101984,-4.396156,-2.791584,1.453503,-0.7364039,2.851241
6.119995,8.045958,-4.366278,-2.801306,1.49382,-0.5723967,2.822097
6.139995,7.989783,-4.335601,-2.808681,1.533708,-0.4061539,2.789554
6.159995,7.933509,-4.304137,-2.813679,1.573121,-0.2383317,2.753448
6.179995,7.877183,-4.271894,-2.816278,1.612006,-0.06959917,2.713623
6.199995,7.820854,-4.238886,-2.816466,1.650311,0.09936416,2.66993
6.219995,7.764569,-4.205125,-2.814241,1.687981,0.2678798,2.622231
6.239995,7.708377,-4.170624,-2.809608,1.724959,0.435271,2.570399
6.259995,7.652326,-4.135398,-2.802586,1.761185,0.6008762,2.514323
6.279995,7.596462,-4.099464,-2.7932,1.796601,0.7640489,2.453907
6.299995,7.540833,-4.062839,-2.781485,1.831143,0.9241683,2.389068
6.319995,7.485483,-4.025542,-2.767487,1.864748,1.080645,2.319748
6.339995,7.430459,-3.987593,-2.751257,1.897354,1.232924,2.245905
6.359995,7.375802,-3.949014,-2.732856,1.928896,1.380491,2.16752
6.379995,7.321556,-3.909826,-2.712353,1.959309,1.522874,2.084597
6.399995,7.267761,-3.870054,-2.689821,1.988528,1.65965,1.997166
6.419995,7.214455,-3.829722,-2.665342,2.01649,1.790447,1.90528
6.439995,7.161676,-3.788858,-2.639002,2.043132,1.91494,1.809022
6.459995,7.10946,-3.747489,-2.61089,2.06839,2.032861,1.708497
6.479995,7.057839,-3.705644,-2.581102,2.092206,2.143989,1.603842
6.499995,7.006846,-3.663352,-2.549735,2.114519,2.248161,1.495219
6.519995,6.95651,-3.620645,-2.516889,2.135274,2.345259,1.382816
6.539995,6.906858,-3.577556,-2.482665,2.154417,2.435217,1.266851
6.559995,6.857916,-3.534117,-2.447166,2.171899,2.518016,1.147566
6.579995,6.809708,-3.490363,-2.410495,2.187671,2.593679,1.025226
6.599995,6.762255,-3.446328,-2.372752,2.201691,2.662273,0.900122
6.619995,6.715576,-3.402049,-2.334041,2.213919,2.7239,0.7725641
6.639995,6.669688,-3.357562,-2.294461,2.224322,2.778699,0.6428825
6.659995,6.624608,-3.312904,-2.254109,2.232869,2.826838,0.5114236
6.679995,6.580348,-3.268113,-2.213082,2.239537,2.868513,0.3785482
6.699995,6.536921,-3.223226,-2.17147,2.244303,2.903944,0.244629
6.719995,6.494336,-3.178283,-2.129364,2.247155,2.933372,0.1100463
6.739995,6.4526,-3.133321,-2.08685,2.248084,2.957051,-0.02481454
6.759995,6.411722,-3.088379,-2.044011,2.247086,2.975251,-0.1595652
6.779994,6.371706,-3.043496,-2.000923,2.244164,2.988254,-0.2938185
6.799994,6.332555,-2.99871,-1.957661,2.239323,2.996345,-0.4271919
6.819994,6.294271,-2.954058,-1.914297,2.23258,2.999816,-0.5593108
6.839994,6.256855,-2.90958,-1.870896,2.223951,2.99896,-0.6898109
6.859994,6.220307,-2.865311,-1.827519,2.213459,2.994071,-0.8183409
6.879994,6.184625,-2.821289,-1.784224,2.201135,2.98544,-0.9445648
6.899994,6.149806,-2.777549,-1.741065,2.187011,2.973354,-1.068167
